Major Heading,Activity Code,MET Value,Activity Description
Sports,15460,8,"Lacrosse"""
Sports,15510,8,"Polo, on horseback"""
Sports,15533,8,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)"""
Sports,15676,8,"Tennis, general, competitive"""
Sports,15690,8,"Tennis, singles (Taylor Code 420)"""
Sports,15725,8,"Volleyball, beach, in sand"""
Sports,15120,7.8,"Boxing, sparring"""
Sports,15195,7.8,"Futsal"""
Sports,15350,7.8,"Hockey, field"""
Sports,15055,7.5,"Basketball, general"""
Sports,15591,7.5,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"""
Sports,15395,7.3,"Horseback riding, canter or gallop"""
Sports,15457,7.3,"Kickboxing"""
Sports,15535,7.3,"Rock climbing, ascending rock, high difficulty"""
Sports,15652,7.3,"Squash, general"""
Sports,15020,7,"Badminton, competitive (Taylor Code 450)"""
Sports,15113,7,"Boxing, punching bag, 60 b/min"""
Sports,15130,7,"Broomball"""
Sports,15450,7,"Kickball"""
Sports,15477,7,"Netball"""
Sports,15530,7,"Racquetball, general (Taylor Code 470)"""
Sports,15546,7,"Rodeo sports, general, vigorous effort"""
Sports,15590,7,"Skating, roller (Taylor Code 360)"""
Sports,15610,7,"Soccer, casual, general (Taylor Code 540)"""
Sports,15731,7,"Wallyball, general"""
Sports,15595,6.8,"Skateboard, longboard, 13.3 km/h, slow speed"""
Sports,15675,6.8,"Tennis, general, moderate effort"""
Sports,15444,6.5,"Kendo, kihon-keiko style, moderate intensity"""
Sports,15506,6.5,"Prusik climbing"""
Sports,15562,6.3,"Rugby, touch, non-competitive"""
Sports,15700,6.3,"Trampoline, recreational"""
Sports,15050,6,"Basketball, non-game, general (Taylor Code 480)"""
Sports,15138,6,"Cheerleading, gymnastic moves, competitive"""
Sports,15200,6,"Fencing, general"""
Sports,15403,6,"Horseback riding, reining"""
Sports,15500,6,"Paddleball, casual, general (Taylor Code 460)"""
Sports,15582,6,"Skateboarding, competitive, vigorous effort"""
Sports,15640,6,"Softball, pitching"""
Sports,15674,6,"Tai chi chuan, Yang style"""
Sports,15680,6,"Tennis, doubles (Taylor Code 430)"""
Sports,15711,6,"Volleyball, competitive, in gymnasium"""
Sports,15733,6,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)"""
Sports,15110,5.8,"Boxing, punching bag"""
Sports,15390,5.8,"Horseback riding, trotting"""
Sports,15537,5.8,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty"""
Sports,15000,5.5,"Alaska Native Games, Eskimo Olympics, general"""
Sports,15030,5.5,"Badminton, social singles and doubles, general"""
Sports,15370,5.5,"Horseback riding, general"""
Sports,15455,5.5,"Kung Fu Gymnastics"""
Sports,15544,5.5,"Rodeo sports, general, moderate effort"""
Sports,15425,5.3,"Martial Arts, different types, slower pace, novice performers, practice"""
Sports,15475,5.3,"Motorcycle racing, Supormoto racing"""
Sports,15070,5,"Basketball, shooting baskets"""
Sports,15540,5,"Rock climbing, rappelling,"""
Sports,15580,5,"Skateboarding, general, moderate effort"""
Sports,15620,5,"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)"""
Sports,15695,5,"Tennis, hitting balls, non-game play, moderate effort"""
Sports,15255,4.5,"Golf, general"""
Sports,15285,4.5,"Golf, walking, pulling clubs"""
Sports,15380,4.5,"Horse grooming, maintenance, saddling tasks"""
Sports,15685,4.5,"Tennis, doubles"""
Sports,15010,4.3,"Archery (non-hunting)"""
Sports,15265,4.3,"Golf, walking, carrying clubs"""
Sports,15170,4,"Curling"""
Sports,15232,4,"Football, touch, flag, light effort"""
Sports,15310,4,"Hacky sack"""
Sports,15335,4,"High ropes course, multiple elements"""
Sports,15440,4,"Juggling"""
Sports,15470,4,"Motocross, off-road motor sports, all-terrain vehicle, general"""
Sports,15542,4,"Rodeo sports, general, light effort"""
Sports,15625,4,"Softball, practice"""
Sports,15660,4,"Table tennis, ping pong (Taylor Code 410)"""
Sports,15710,4,"Volleyball (Taylor Code 400)"""
Sports,15732,4,"Track and field (e.g., shot, discus, hammer throw)"""
Sports,15252,3.8,"Frisbee golf"""
Sports,15300,3.8,"Gymnastics, general"""
Sports,15400,3.8,"Horseback riding, walking"""
Sports,15340,3.5,"Hang gliding"""
Sports,15600,3.5,"Skydiving, base-jumping, bungee jumping"""
Sports,15615,3.5,"Walking football/soccer"""
Sports,15670,3.3,"Tai chi, qi gong, general"""
Sports,15240,3,"Frisbee playing, general"""
Sports,15570,3,"Shuffleboard"""
Sports,15720,3,"Volleyball, non-competitive, 6 - 9 member team, general"""
Walking,17040,16.3,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph"""
Walking,17039,15.5,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph"""
Walking,17315,12.3,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)"""
Walking,17030,12,"Carrying load, >74 lb load, upstairs"""
Walking,17313,10.8,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)"""
Walking,17029,10,"Carrying load, 50 to 74 lb load, upstairs"""
Walking,17037,10,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace"""
Walking,17060,10,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace"""
Walking,17134,9.3,"Stair climbing, fast pace, one step at a time"""
Walking,17036,8.8,"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace"""
Walking,17310,8.8,"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace"""
Walking,17038,8.5,"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)"""
Walking,17231,8.5,"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface"""
Walking,17305,8.5,"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace"""
Walking,17025,8.3,"Carrying load upstairs, general"""
Walking,17367,8.3,"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade"""
Walking,17455,8.3,"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace"""
Walking,17028,8,"Carrying load, 25 to 49 lb load, upstairs"""
Walking,17090,8,"Marching rapidly, military, no pack"""
Walking,17130,8,"Stair climbing, using or climbing up ladder (Taylor Code 030)"""
Walking,17330,8,"Walking, Teabag walk, Monty Python Ministry of Silly Walks"""
Walking,17012,7.8,"Backpacking, hiking with a daypack, organized walking with daypack"""
Walking,17325,7.8,"Walking, backward, 3.5 mph, uphill, 5% grade"""
Walking,17475,7.8,"Walking treadmill, backwards, 2.5 mph, +10% grade"""
Walking,17050,7.5,"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace"""
Walking,17136,7.5,"Stair climbing, two steps at a time"""
Walking,17138,7.5,"Stair climbing, ascending and descending stairs"""
Walking,17010,7,"Backpacking (Taylor Code 050)"""
Walking,17035,7,"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace"""
Walking,17142,7,"Using crutches, fast pace"""
Walking,17230,7,"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk"""
Walking,17131,6.8,"Stair climbing, general"""
Walking,17364,6.8,"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade"""
Walking,17019,6.5,"Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace"""
Walking,17045,6.5,"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate"""
Walking,17110,6.5,"Race walking"""
Walking,17027,6,"Carrying load, 16 to 24 lb load, upstairs"""
Walking,17080,6,"Hiking, cross country (Taylor Code 040)"""
Walking,17320,6,"Walking, backward, 3.5 mph, level"""
Walking,17361,5.8,"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade"""
Walking,17438,5.8,"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load"""
Walking,17026,5.5,"Carrying load, 1 to 15 lb load, upstairs"""
Walking,17220,5.5,"Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace"""
Walking,17034,5.3,"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace"""
Walking,17082,5.3,"Hiking or walking at a normal pace through fields and hillsides, no load"""
Walking,17032,5,"Climbing hills, no load, 5 to 20% grade, very slow pace"""
Walking,17200,4.8,"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise"""
Walking,17260,4.8,"Walking, grass track"""
Walking,17358,4.8,"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade"""
Walking,17434,4.8,"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load"""
Walking,17018,4.5,"Carrying 15 - 155 lb (6.8 - 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace"""
Walking,17076,4.5,"Hauling water, head hauling, walking on flat surface"""
Walking,17088,4.5,"Marching, moderate speed, military, no pack"""
Walking,17133,4.5,"Stair climbing, slow pace"""
Walking,17140,4.5,"Using crutches, level ground, general"""
Walking,17262,4.5,"Walking, normal pace, plowed field or sand"""
Walking,17145,4.3,"Using medical knee scooter"""
Walking,17302,4.3,"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace"""
Walking,17016,4,"Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace"""
Walking,17255,4,"Walking, self-selected speed, indoor track or outdoors, firm surface"""
Walking,17033,3.8,"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace"""
Walking,17081,3.8,"Hiking slowly or ambling through fields and hillsides, no load"""
Walking,17355,3.8,"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade"""
Walking,17070,3.5,"Descending stairs"""
